trade_id,dedupe_key,created_at,symbol,direction,setup_type,signal_type,score,entry,stop_loss,take_profit,risk_reward,market_regime,session,entry_context,trade_location,warnings,reasons,status,result_r,closed_at,breakeven_triggered,breakeven_alert_sent_at,partial_tp_suggested,partial_tp_alert_sent_at,updated_at
live_1abe8095a83a,DOGEUSDT|long|liquidity_sweep_mtf|v1|1h|2026-05-02T13:59:59.999000+00:00,2026-05-02T14:18:47.675842+00:00,DOGEUSDT,long,SECONDARY_SIGNAL,NEW,90.0,0.1086,0.107024,0.111752,2.0,TRENDING,OVERLAP,BREAKOUT,mid_range,"[""explosive_candle_without_pullback""]","[""trend_1h=bullish"", ""trend_4h=bullish"", ""market_structure=bearish"", ""liquidity_sweep=none"", ""break_of_structure=bullish_bos"", ""base_setup_score=65.0"", ""min_setup_score_required=45.0"", ""secondary_setup_score_required=60.0"", ""final_setup_score=90.0"", ""penalties=distance_to_liquidity_penalty:10,secondary_confluence_bonus:+35"", ""volume_ratio=1.26329"", ""rsi=50.97493"", ""secondary_confluence_bonus=35"", ""directional_distance_check=penalty"", ""nearest_liquidity_check=passed"", ""liquidity_rule_applied=nearest_secondary_continuation"", ""setup_type=SECONDARY_SIGNAL""]",tp_hit,2.0000,2026-05-04T08:30:11.542910+00:00,false,,false,,2026-05-04T08:30:11.542910+00:00
live_40ef80972b50,ETHUSDT|long|liquidity_sweep_mtf|v1|1h|2026-05-03T19:59:59.999000+00:00,2026-05-03T20:02:59.793778+00:00,ETHUSDT,long,SECONDARY_SIGNAL,NEW,60.0,2335.59,2295.654143,2415.461714,2.0,RANGING,NEW_YORK,BREAKOUT,near_resistance,[],"[""trend_1h=bullish"", ""trend_4h=bullish"", ""market_structure=range"", ""liquidity_sweep=none"", ""break_of_structure=bullish_bos"", ""base_setup_score=45.0"", ""min_setup_score_required=45.0"", ""secondary_setup_score_required=60.0"", ""final_setup_score=60.0"", ""penalties=market_structure_range_penalty:10,distance_to_liquidity_penalty:10,secondary_confluence_bonus:+35"", ""volume_ratio=1.24672"", ""rsi=80.187956"", ""secondary_confluence_bonus=35"", ""directional_distance_check=penalty"", ""nearest_liquidity_check=passed"", ""liquidity_rule_applied=nearest_secondary_continuation"", ""setup_type=SECONDARY_SIGNAL""]",open,0,,true,2026-05-05T08:09:50.100132+00:00,false,,2026-05-05T08:09:50.100132+00:00
live_c719f8234807,TAOUSDT|long|liquidity_sweep_mtf|v1|1h|2026-05-03T20:59:59.999000+00:00,2026-05-03T21:32:48.922905+00:00,TAOUSDT,long,SECONDARY_SIGNAL,NEW,60.0,293.3,281.142857,317.614286,2.0,HIGH_VOLATILITY,NEW_YORK,BREAKOUT,near_resistance,[],"[""trend_1h=bullish"", ""trend_4h=bullish"", ""market_structure=range"", ""liquidity_sweep=none"", ""break_of_structure=bullish_bos"", ""base_setup_score=45.0"", ""min_setup_score_required=45.0"", ""secondary_setup_score_required=60.0"", ""final_setup_score=60.0"", ""penalties=market_structure_range_penalty:10,distance_to_liquidity_penalty:10,secondary_confluence_bonus:+35"", ""volume_ratio=2.077605"", ""rsi=60.619469"", ""secondary_confluence_bonus=35"", ""directional_distance_check=penalty"", ""nearest_liquidity_check=passed"", ""liquidity_rule_applied=nearest_secondary_continuation"", ""setup_type=SECONDARY_SIGNAL""]",open,0,,false,,false,,2026-05-03T21:32:48.922905+00:00
live_fd924d88740f,ICPUSDT|short|liquidity_sweep_mtf|v1|1h|2026-05-03T21:59:59.999000+00:00,2026-05-03T22:04:08.780604+00:00,ICPUSDT,short,SECONDARY_SIGNAL,NEW,60.0,2.337,2.372614,2.265772,2.0,RANGING,NEW_YORK,BREAKOUT,near_support,[],"[""trend_1h=bearish"", ""trend_4h=bearish"", ""market_structure=range"", ""liquidity_sweep=none"", ""break_of_structure=bearish_bos"", ""base_setup_score=45.0"", ""min_setup_score_required=45.0"", ""secondary_setup_score_required=60.0"", ""final_setup_score=60.0"", ""penalties=market_structure_range_penalty:10,distance_to_liquidity_penalty:10,secondary_confluence_bonus:+35"", ""volume_ratio=2.332895"", ""rsi=32.876712"", ""secondary_confluence_bonus=35"", ""directional_distance_check=penalty"", ""nearest_liquidity_check=passed"", ""liquidity_rule_applied=nearest_secondary_continuation"", ""setup_type=SECONDARY_SIGNAL""]",sl_hit,-1.0000,2026-05-04T08:57:23.846182+00:00,false,,false,,2026-05-04T08:57:23.846182+00:00
live_87e6d7c41019,MANAUSDT|short|liquidity_sweep_mtf|v1|1h|2026-05-03T21:59:59.999000+00:00,2026-05-03T22:04:14.495927+00:00,MANAUSDT,short,SECONDARY_SIGNAL,NEW,90.0,0.0882,0.090911,0.082777,2.0,TRENDING,NEW_YORK,BREAKOUT,near_support,[],"[""trend_1h=bearish"", ""trend_4h=bearish"", ""market_structure=bearish"", ""liquidity_sweep=none"", ""break_of_structure=bearish_bos"", ""base_setup_score=65.0"", ""min_setup_score_required=45.0"", ""secondary_setup_score_required=60.0"", ""final_setup_score=90.0"", ""penalties=distance_to_liquidity_penalty:10,secondary_confluence_bonus:+35"", ""volume_ratio=1.556637"", ""rsi=16.129032"", ""secondary_confluence_bonus=35"", ""directional_distance_check=penalty"", ""nearest_liquidity_check=passed"", ""liquidity_rule_applied=nearest_secondary_continuation"", ""setup_type=SECONDARY_SIGNAL""]",open,0,,false,,false,,2026-05-03T22:04:14.495927+00:00
live_efd7ae349e3f,BTCUSDT|long|liquidity_sweep_mtf|v1|1h|2026-05-04T14:59:59.999000+00:00,2026-05-04T15:39:54.864055+00:00,BTCUSDT,long,SECONDARY_SIGNAL,NEW,60.0,80216.16,78059.472429,84529.535143,2.0,HIGH_VOLATILITY,OVERLAP,BREAKOUT,near_resistance,"[""high_spread""]","[""trend_1h=bullish"", ""trend_4h=bullish"", ""market_structure=range"", ""liquidity_sweep=none"", ""break_of_structure=bullish_bos"", ""base_setup_score=45.0"", ""min_setup_score_required=45.0"", ""secondary_setup_score_required=60.0"", ""final_setup_score=60.0"", ""penalties=market_structure_range_penalty:10,distance_to_liquidity_penalty:10,secondary_confluence_bonus:+35"", ""volume_ratio=2.197852"", ""rsi=66.161336"", ""secondary_confluence_bonus=35"", ""directional_distance_check=penalty"", ""nearest_liquidity_check=passed"", ""liquidity_rule_applied=nearest_secondary_continuation"", ""setup_type=SECONDARY_SIGNAL""]",open,0,,false,,false,,2026-05-04T15:39:54.864055+00:00
live_102ed603d427,ETHUSDT|long|liquidity_sweep_mtf|v1|1h|2026-05-04T14:59:59.999000+00:00,2026-05-04T15:39:56.744863+00:00,ETHUSDT,long,SECONDARY_SIGNAL,NEW,60.0,2371.39,2304.380857,2505.408286,2.0,HIGH_VOLATILITY,OVERLAP,BREAKOUT,premium_zone,[],"[""trend_1h=bullish"", ""trend_4h=bullish"", ""market_structure=range"", ""liquidity_sweep=none"", ""break_of_structure=bullish_bos"", ""base_setup_score=45.0"", ""min_setup_score_required=45.0"", ""secondary_setup_score_required=60.0"", ""final_setup_score=60.0"", ""penalties=market_structure_range_penalty:10,distance_to_liquidity_penalty:10,secondary_confluence_bonus:+35"", ""volume_ratio=1.831436"", ""rsi=64.64144"", ""secondary_confluence_bonus=35"", ""directional_distance_check=penalty"", ""nearest_liquidity_check=passed"", ""liquidity_rule_applied=nearest_secondary_continuation"", ""setup_type=SECONDARY_SIGNAL""]",open,0,,false,,false,,2026-05-05T08:09:50.100132+00:00
