label,label_reason,result_r,signal_id,timestamp,symbol,direction,market_regime,session,entry_context,trade_location,setup_type,score,trend,trend_higher_timeframe,timeframe_alignment,rsi,body_ratio,volume_ratio,atr,distance_to_liquidity_atr,liquidity_sweep,break_of_structure,has_against_htf,has_low_volume,has_dirty_sideways_market,has_market_structure_range_penalty,has_timeframe_alignment_penalty,has_secondary_confluence_bonus,warnings_count,penalties_count,meta_decision_score,trade_quality_score,edge_confirmation_score
0,recorded_status_sl,-1.0,paper_761736d12cde,2026-05-03T21:09:23.924277+00:00,ETHUSDT,short,RANGING,NEW_YORK,EXHAUSTION,premium_zone,MAIN_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
0,recorded_status_sl,-1.0,paper_6625a749995c,2026-05-03T21:09:24.731412+00:00,SOLUSDT,short,TRENDING,NEW_YORK,PULLBACK,premium_zone,MAIN_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
1,recorded_status_tp,1.5,paper_5e7adc183cfe,2026-05-03T21:32:25.147336+00:00,DOTUSDT,long,TRENDING,NEW_YORK,BREAKOUT,mid_range,SECONDARY_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
0,recorded_status_sl,-1.0,paper_ba0155acfc12,2026-05-03T21:32:35.893221+00:00,UNIUSDT,short,RANGING,NEW_YORK,CHOPPY_RANGE,premium_zone,MAIN_SIGNAL,,,,,,,,,,,,False,False,True,False,False,False,1,0,,,
0,recorded_status_sl,-1.0,paper_5b11b8734db4,2026-05-03T21:32:36.725503+00:00,ETCUSDT,short,RANGING,NEW_YORK,CHOPPY_RANGE,premium_zone,MAIN_SIGNAL,,,,,,,,,,,,True,True,True,False,False,False,3,0,,,
,missing_price_path,,paper_9551b8ea4490,2026-05-03T21:32:39.779548+00:00,FTMUSDT,long,HIGH_VOLATILITY,ASIA,PULLBACK,near_support,MAIN_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
0,recorded_status_sl,-1.0,paper_18fa8219a378,2026-05-03T21:32:43.208675+00:00,SANDUSDT,short,TRENDING,NEW_YORK,PULLBACK,premium_zone,MAIN_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_price_path,,paper_c2a7427b5ef2,2026-05-03T21:32:43.883684+00:00,MANAUSDT,short,TRENDING,NEW_YORK,BREAKOUT,near_support,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
0,recorded_status_sl,-1.0,paper_52df9213dbae,2026-05-03T21:32:44.888096+00:00,APEUSDT,long,HIGH_VOLATILITY,NEW_YORK,BREAKOUT,near_support,MAIN_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_price_path,,live_c719f8234807,2026-05-03T21:32:48.922905+00:00,TAOUSDT,long,HIGH_VOLATILITY,NEW_YORK,BREAKOUT,near_resistance,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_price_path,,paper_8695c459ec94,2026-05-03T21:32:48.923600+00:00,TAOUSDT,long,HIGH_VOLATILITY,NEW_YORK,BREAKOUT,near_resistance,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-03T22:03:50.611455+00:00,DOGEUSDT,short,TRENDING,,BREAKOUT,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-03T22:03:51.421154+00:00,AVAXUSDT,short,TRENDING,,PULLBACK,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
