generated_at,source_csv,symbol,direction,setup_type,market_regime,session,entry_context,trade_location,status,result_r,sample_size,confidence,winrate,avg_r,profit_factor,PF,mfe_r,mae_r,bars_held,outcome_quality_score,outcome_grade,outcome_type,post_entry_behavior,mfe_efficiency,mae_pressure,time_to_resolution,outcome_reasons,outcome_risks
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,BNBUSDT,short,SECONDARY_SIGNAL,RANGING,OVERLAP,BREAKOUT,near_support,expired,0.3667,1,LOW,100.0,0.3667,,,0.9815,-0.0844,24,30.47,TRASH,TIMEOUT,SLOW_GRIND,0.3736,0.0844,24,"[""salida por timeout/expired""]","[""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,DOGEUSDT,short,SECONDARY_SIGNAL,HIGH_VOLATILITY,OVERLAP,BREAKOUT,discount_zone,expired,-0.6413,1,LOW,0.0,-0.6413,0.0,0.0,0.0000,-0.8136,24,26.43,TRASH,TIMEOUT,SLOW_GRIND,,0.8136,24,"[""salida por timeout/expired""]","[""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,DOGEUSDT,short,SECONDARY_SIGNAL,HIGH_VOLATILITY,LONDON,BREAKOUT,mid_range,sl_hit,-1.0,3,LOW,0.0,-0.4632,0.0,0.0,0.1987,-1.2138,5,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-5.0327,1.2138,5,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,DOGEUSDT,long,MAIN_SIGNAL,RANGING,LONDON,CHOPPY_RANGE,near_support,expired,1.0,2,LOW,50.0,0.0,1.0,1.0,3.5240,-0.2746,24,38.0,TRASH,TIMEOUT,SLOW_GRIND,0.2838,0.2746,24,"[""salida por timeout/expired"", ""MFE favorable""]","[""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,DOGEUSDT,long,SECONDARY_SIGNAL,TRENDING,OVERLAP,BREAKOUT,mid_range,expired,-0.2855,1,LOW,0.0,-0.2855,0.0,0.0,0.4251,-0.5457,24,27.86,TRASH,TIMEOUT,SLOW_GRIND,-0.6716,0.5457,24,"[""salida por timeout/expired""]","[""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,ETHUSDT,long,SECONDARY_SIGNAL,RANGING,NEW_YORK,BREAKOUT,near_resistance,expired,0.6813,1,LOW,100.0,0.6813,,,0.9585,-0.5156,24,31.73,TRASH,TIMEOUT,SLOW_GRIND,0.7108,0.5156,24,"[""salida por timeout/expired""]","[""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,AVAXUSDT,long,SECONDARY_SIGNAL,RANGING,NEW_YORK,CHOPPY_RANGE,premium_zone,expired,0.4104,1,LOW,100.0,0.4104,,,0.9380,-0.4104,24,30.64,TRASH,TIMEOUT,SLOW_GRIND,0.4375,0.4104,24,"[""salida por timeout/expired""]","[""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,ETHUSDT,short,MAIN_SIGNAL,RANGING,NEW_YORK,EXHAUSTION,premium_zone,sl_hit,-1.0,1,LOW,0.0,-1.0,0.0,0.0,0.8658,-2.6301,21,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-1.155,2.6301,21,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,SOLUSDT,short,MAIN_SIGNAL,TRENDING,NEW_YORK,PULLBACK,premium_zone,sl_hit,-1.0,2,LOW,0.0,-1.0,0.0,0.0,1.0238,-1.4913,21,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-0.9768,1.4913,21,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,DOTUSDT,long,SECONDARY_SIGNAL,TRENDING,NEW_YORK,BREAKOUT,mid_range,tp2_hit,1.5,1,LOW,100.0,1.5,,,2.0854,-0.6951,16,76.0,A,DIRTY_WIN,UNKNOWN,0.7193,0.6951,16,"[""resultado positivo"", ""MFE favorable""]","[""win con presión o resolución lenta""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,UNIUSDT,short,MAIN_SIGNAL,RANGING,NEW_YORK,CHOPPY_RANGE,premium_zone,sl_hit,-1.0,2,LOW,0.0,-1.0,0.0,0.0,1.1694,-6.4737,16,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-0.8551,6.4737,16,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,ETCUSDT,short,MAIN_SIGNAL,RANGING,NEW_YORK,CHOPPY_RANGE,premium_zone,sl_hit,-1.0,2,LOW,0.0,-1.0,0.0,0.0,0.8434,-4.0060,16,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-1.1857,4.006,16,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,SANDUSDT,short,MAIN_SIGNAL,TRENDING,NEW_YORK,PULLBACK,premium_zone,sl_hit,-1.0,2,LOW,0.0,-1.0,0.0,0.0,1.4799,-3.3827,16,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-0.6757,3.3827,16,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,APEUSDT,long,MAIN_SIGNAL,HIGH_VOLATILITY,NEW_YORK,BREAKOUT,near_support,sl_hit,-1.0,1,LOW,0.0,-1.0,0.0,0.0,1.9266,-3.4862,11,13.0,TRASH,BAD_LOSS,FAST_REVERSAL,-0.519,3.4862,11,"[""MFE favorable""]","[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,ATOMUSDT,short,SECONDARY_SIGNAL,RANGING,NEW_YORK,CHOPPY_RANGE,mid_range,sl_hit,-1.0,1,LOW,0.0,-1.0,0.0,0.0,0.4750,-1.7812,5,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-2.1053,1.7812,5,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,SUIUSDT,short,SECONDARY_SIGNAL,TRENDING,NEW_YORK,BREAKOUT,mid_range,sl_hit,-1.0,1,LOW,0.0,-1.0,0.0,0.0,0.3503,-2.1327,5,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-2.8547,2.1327,5,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,ICPUSDT,short,SECONDARY_SIGNAL,RANGING,NEW_YORK,BREAKOUT,near_support,sl_hit,-1.0,1,LOW,0.0,-1.0,0.0,0.0,0.1685,-1.7970,5,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-5.9347,1.797,5,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,TRXUSDT,short,MAIN_SIGNAL,RANGING,LONDON,CHOPPY_RANGE,near_resistance,sl_hit,-1.0,1,LOW,0.0,-1.0,0.0,0.0,0.0000,-1.1012,1,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,,1.1012,1,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,INJUSDT,short,MAIN_SIGNAL,HIGH_VOLATILITY,LONDON,PULLBACK,near_resistance,tp2_hit,2.951,1,LOW,100.0,2.951,,,3.8848,0.0000,1,100.0,A+,CLEAN_WIN,STRONG_CONTINUATION,0.7596,0.0,1,"[""resultado positivo"", ""win limpio: MAE bajo y resolución eficiente"", ""MFE favorable"", ""resolución rápida favorable""]",[]
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,BTCUSDT,long,MAIN_SIGNAL,RANGING,LONDON,BREAKOUT,discount_zone,expired,1.0,1,LOW,100.0,1.0,,,1.8582,-0.5097,24,38.0,TRASH,TIMEOUT,SLOW_GRIND,0.5382,0.5097,24,"[""salida por timeout/expired"", ""MFE favorable""]","[""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,ETHUSDT,short,SECONDARY_SIGNAL,HIGH_VOLATILITY,LONDON,BREAKOUT,discount_zone,expired,-0.1795,3,LOW,0.0,-0.4632,0.0,0.0,0.1934,-0.6642,24,28.28,TRASH,TIMEOUT,SLOW_GRIND,-0.9281,0.6642,24,"[""salida por timeout/expired""]","[""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,SOLUSDT,long,MAIN_SIGNAL,HIGH_VOLATILITY,LONDON,BREAKOUT,discount_zone,expired,1.0,1,LOW,100.0,1.0,,,1.3292,-0.4673,24,33.0,TRASH,TIMEOUT,SLOW_GRIND,0.7523,0.4673,24,"[""salida por timeout/expired""]","[""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,DOGEUSDT,short,SECONDARY_SIGNAL,HIGH_VOLATILITY,LONDON,BREAKOUT,mid_range,expired,-0.21,3,LOW,0.0,-0.4632,0.0,0.0,0.1763,-0.6143,24,28.16,TRASH,TIMEOUT,SLOW_GRIND,-1.1912,0.6143,24,"[""salida por timeout/expired""]","[""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,ETHUSDT,long,SECONDARY_SIGNAL,HIGH_VOLATILITY,OVERLAP,BREAKOUT,premium_zone,sl_hit,-1.0,1,LOW,0.0,-1.0,0.0,0.0,0.2562,-3.8933,24,2.0,TRASH,BAD_LOSS,FAST_REVERSAL,-3.9032,3.8933,24,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado"", ""tiempo en mercado elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,BNBUSDT,short,MAIN_SIGNAL,TRENDING,LONDON,PULLBACK,near_resistance,sl_hit,-1.0,1,LOW,0.0,-1.0,0.0,0.0,0.6812,-8.0811,14,8.0,TRASH,BAD_LOSS,FAST_REVERSAL,-1.468,8.0811,14,[],"[""resultado negativo"", ""loss agresivo: MAE alto o SL rápido"", ""MAE elevado""]"
2026-05-30T15:11:12+00:00,data/paper_trading/trades.csv,BNBUSDT,long,MAIN_SIGNAL,TRENDING,LONDON,BREAKOUT,near_resistance,tp2_hit,1.5,1,LOW,100.0,1.5,,,2.3481,-0.1026,3,100.0,A+,CLEAN_WIN,STRONG_CONTINUATION,0.6388,0.1026,3,"[""resultado positivo"", ""win limpio: MAE bajo y resolución eficiente"", ""MFE favorable"", ""resolución rápida favorable""]",[]
