generated_at,segment,target_context,feature,value,sample_size,total_r,profit_factor,winrate,avg_r,max_drawdown,confidence,rolling_last_10_r,rolling_last_20_r,rolling_last_30_r,degradation,toxicity_score,opportunity_score,classification
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,target_context,entry_context=CHOPPY_RANGE,4,-4.0,0.0,0.0,-1.0,-4.0,LOW,-4.0,-4.0,-4.0,0.0,48.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,direction,short,4,-4.0,0.0,0.0,-1.0,-4.0,LOW,-4.0,-4.0,-4.0,0.0,48.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,entry_context,CHOPPY_RANGE,4,-4.0,0.0,0.0,-1.0,-4.0,LOW,-4.0,-4.0,-4.0,0.0,48.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,market_regime,RANGING,4,-4.0,0.0,0.0,-1.0,-4.0,LOW,-4.0,-4.0,-4.0,0.0,48.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,body_ratio_bucket,UNKNOWN,4,-4.0,0.0,0.0,-1.0,-4.0,LOW,-4.0,-4.0,-4.0,0.0,48.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,penalty,market_structure_range_penalty:10,4,-4.0,0.0,0.0,-1.0,-4.0,LOW,-4.0,-4.0,-4.0,0.0,48.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,rejection_reason,market_structure_range_penalty,4,-4.0,0.0,0.0,-1.0,-4.0,LOW,-4.0,-4.0,-4.0,0.0,48.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,trend_alignment,aligned,6,-2.5896,0.3526,33.33,-0.4316,-3.0,LOW,-2.5896,-2.5896,-2.5896,0.0,47.1424,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,entry_context=CHOPPY_RANGE,session,NEW_YORK,3,-3.0,0.0,0.0,-1.0,-3.0,LOW,-3.0,-3.0,-3.0,0.0,46.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,entry_context=CHOPPY_RANGE,setup_type,MAIN_SIGNAL,3,-3.0,0.0,0.0,-1.0,-3.0,LOW,-3.0,-3.0,-3.0,0.0,46.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,entry_context=CHOPPY_RANGE,score_bucket,<60,3,-3.0,0.0,0.0,-1.0,-3.0,LOW,-3.0,-3.0,-3.0,0.0,46.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,entry_context=CHOPPY_RANGE,rr_bucket,rr_1_5_to_2,3,-3.0,0.0,0.0,-1.0,-3.0,LOW,-3.0,-3.0,-3.0,0.0,46.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,entry_context=CHOPPY_RANGE,trend_alignment,aligned,3,-3.0,0.0,0.0,-1.0,-3.0,LOW,-3.0,-3.0,-3.0,0.0,46.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,entry_context=CHOPPY_RANGE,rejection_reason,body_ratio_below_threshold,3,-3.0,0.0,0.0,-1.0,-3.0,LOW,-3.0,-3.0,-3.0,0.0,46.0,0.0,UNSTABLE
