generated_at,context,context_value,range_penalty_trades,no_range_penalty_trades,range_penalty_winrate,no_range_penalty_winrate,range_penalty_total_r,no_range_penalty_total_r,range_penalty_avg_r,no_range_penalty_avg_r,range_penalty_profit_factor,no_range_penalty_profit_factor,delta_avg_r_penalty_vs_no_penalty,delta_total_r_penalty_vs_no_penalty,sample_confidence,shadow_interpretation,recommended_action
2026-05-28T15:56:04+00:00,direction+market_regime+entry_context,short|TRENDING|BREAKOUT,0,3,0.0,0.0,0,-2.1098,0.0,-0.7033,0.0,0.0,0.7033,2.1098,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,direction+entry_context,short|BREAKOUT,7,6,28.57,0.0,-1.0003,-4.7511,-0.1429,-0.7919,0.6511,0.0,0.649,3.7508,LOW,RANGE_PENALTY_LOOKS_PROTECTIVE,keep_current_penalty
2026-05-28T15:56:04+00:00,SHORT,SHORT,13,9,23.08,0.0,-3.0493,-7.7511,-0.2346,-0.8612,0.6124,0.0,0.6266,4.7018,LOW,RANGE_PENALTY_LOOKS_PROTECTIVE,keep_current_penalty
2026-05-28T15:56:04+00:00,direction,short,13,9,23.08,0.0,-3.0493,-7.7511,-0.2346,-0.8612,0.6124,0.0,0.6266,4.7018,LOW,RANGE_PENALTY_LOOKS_PROTECTIVE,keep_current_penalty
2026-05-28T15:56:04+00:00,direction+market_regime+entry_context,short|HIGH_VOLATILITY|BREAKOUT,2,2,0.0,0.0,-0.3895,-1.6413,-0.1947,-0.8206,0.0,0.0,0.6259,1.2518,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,setup_type+direction,SECONDARY_SIGNAL|short,8,6,25.0,0.0,-2.0003,-4.7511,-0.25,-0.7919,0.4827,0.0,0.5419,2.7508,LOW,RANGE_PENALTY_LOOKS_PROTECTIVE,keep_current_penalty
2026-05-28T15:56:04+00:00,session,LONDON,11,3,45.45,33.33,3.584,-0.5,0.3258,-0.1667,1.9268,0.75,0.4925,4.084,LOW,INSUFFICIENT_CONTROL_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,direction+market_regime,short|RANGING,10,1,20.0,0.0,-5.6108,-1.0,-0.5611,-1.0,0.2496,0.0,0.4389,-4.6108,LOW,RANGE_PENALTY_LOOKS_PROTECTIVE,keep_current_penalty
2026-05-28T15:56:04+00:00,trade_location,premium_zone,5,3,20.0,0.0,-3.5896,-3.0,-0.7179,-1.0,0.1026,0.0,0.2821,-0.5896,LOW,RANGE_PENALTY_LOOKS_PROTECTIVE,keep_current_penalty
2026-05-28T15:56:04+00:00,direction+market_regime+entry_context,long|RANGING|PULLBACK,2,0,50.0,0.0,0.5068,0,0.2534,0.0,1.5068,0.0,0.2534,0.5068,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,setup_type,SECONDARY_SIGNAL,11,12,36.36,16.67,-1.9086,-4.5366,-0.1735,-0.378,0.6078,0.4355,0.2045,2.628,MEDIUM,RANGE_PENALTY_LOOKS_PROTECTIVE,keep_current_penalty
2026-05-28T15:56:04+00:00,direction+entry_context,long|CHOPPY_RANGE,3,0,66.67,0.0,0.4104,0,0.1368,0.0,1.4104,0.0,0.1368,0.4104,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,direction+market_regime+entry_context,long|RANGING|CHOPPY_RANGE,3,0,66.67,0.0,0.4104,0,0.1368,0.0,1.4104,0.0,0.1368,0.4104,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,ALL,ALL,23,22,39.13,22.73,-1.4508,-4.1246,-0.0631,-0.1875,0.8777,0.7257,0.1244,2.6738,MEDIUM,RANGE_PENALTY_LOOKS_PROTECTIVE,keep_current_penalty
2026-05-28T15:56:04+00:00,session,NEW_YORK,7,7,28.57,14.29,-3.9083,-4.5,-0.5583,-0.6429,0.2183,0.25,0.0846,0.5917,LOW,RANGE_PENALTY_LOOKS_PROTECTIVE,keep_current_penalty
2026-05-28T15:56:04+00:00,entry_context,BREAKOUT,12,16,41.67,25.0,-0.319,-0.7814,-0.0266,-0.0488,0.9345,0.9221,0.0222,0.4624,MEDIUM,RANGE_PENALTY_LOOKS_PROTECTIVE,keep_current_penalty
2026-05-28T15:56:04+00:00,setup_type,MAIN_SIGNAL,12,10,41.67,30.0,0.4578,0.412,0.0381,0.0412,1.0654,1.0589,-0.0031,0.0458,MEDIUM,NEUTRAL_OR_MIXED,no_change
2026-05-28T15:56:04+00:00,setup_type+direction,SECONDARY_SIGNAL|long,3,6,66.67,33.33,0.0917,0.2145,0.0306,0.0358,1.0917,1.0653,-0.0052,-0.1228,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,market_regime,TRENDING,0,15,0.0,33.33,0,2.5167,0.0,0.1678,0.0,1.2998,-0.1678,-2.5167,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,session,OVERLAP,5,12,40.0,25.0,-1.1265,0.8754,-0.2253,0.073,0.6245,1.1244,-0.2983,-2.0019,LOW,RANGE_PENALTY_LOOKS_PROTECTIVE,keep_current_penalty
2026-05-28T15:56:04+00:00,direction+entry_context,long|EXHAUSTION,0,2,0.0,50.0,0,0.6568,0.0,0.3284,0.0,1.6568,-0.3284,-0.6568,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,direction+market_regime+entry_context,long|TRENDING|EXHAUSTION,0,2,0.0,50.0,0,0.6568,0.0,0.3284,0.0,1.6568,-0.3284,-0.6568,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,CHOPPY_RANGE,CHOPPY_RANGE,7,0,28.57,0.0,-3.5896,0,-0.5128,0.0,0.2821,0.0,-0.5128,-3.5896,LOW,RANGE_PENALTY_LOOKS_PROTECTIVE,keep_current_penalty
2026-05-28T15:56:04+00:00,entry_context,CHOPPY_RANGE,7,0,28.57,0.0,-3.5896,0,-0.5128,0.0,0.2821,0.0,-0.5128,-3.5896,LOW,RANGE_PENALTY_LOOKS_PROTECTIVE,keep_current_penalty
2026-05-28T15:56:04+00:00,direction+market_regime,long|TRENDING,0,9,0.0,55.56,0,7.6265,0.0,0.8474,0.0,3.3213,-0.8474,-7.6265,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,SHORT+CHOPPY_RANGE,SHORT+CHOPPY_RANGE,4,0,0.0,0.0,-4.0,0,-1.0,0.0,0.0,0.0,-1.0,-4.0,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,direction+entry_context,short|CHOPPY_RANGE,4,0,0.0,0.0,-4.0,0,-1.0,0.0,0.0,0.0,-1.0,-4.0,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,direction+market_regime+entry_context,short|RANGING|CHOPPY_RANGE,4,0,0.0,0.0,-4.0,0,-1.0,0.0,0.0,0.0,-1.0,-4.0,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,direction+entry_context,short|EXHAUSTION,1,0,0.0,0.0,-1.0,0,-1.0,0.0,0.0,0.0,-1.0,-1.0,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,direction+market_regime+entry_context,short|RANGING|EXHAUSTION,1,0,0.0,0.0,-1.0,0,-1.0,0.0,0.0,0.0,-1.0,-1.0,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,trade_location,mid_range,3,6,0.0,50.0,-2.21,2.8713,-0.7367,0.4786,0.0,2.2563,-1.2153,-5.0813,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,direction+market_regime+entry_context,long|TRENDING|BREAKOUT,0,6,0.0,66.67,0,7.9697,0.0,1.3283,0.0,7.1997,-1.3283,-7.9697,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
2026-05-28T15:56:04+00:00,entry_context,EXHAUSTION,1,2,0.0,50.0,-1.0,0.6568,-1.0,0.3284,0.0,1.6568,-1.3284,-1.6568,LOW,INSUFFICIENT_RANGE_PENALTY_SAMPLE,collect_more_samples
