signal_id,timestamp,symbol,direction,entry,stop_loss,take_profit,time_barrier_bars,label,label_reason,result_r,max_r,min_r,bars_to_label,market_regime,session,entry_context,trade_location,setup_type,warnings,penalties
paper_cfd80d8f0768,2026-05-03T20:02:59.795374+00:00,ETHUSDT,long,2335.59,2295.654143,2375.525857,24,TIMEOUT,recorded_status_timeout,0.6813,0.9585,-0.5156,24,RANGING,NEW_YORK,BREAKOUT,near_resistance,SECONDARY_SIGNAL,[],
paper_9d0959333eaa,2026-05-03T20:03:04.362777+00:00,AVAXUSDT,long,9.13,8.959429,9.300571,24,TIMEOUT,recorded_status_timeout,0.4104,0.938,-0.4104,24,RANGING,NEW_YORK,CHOPPY_RANGE,premium_zone,SECONDARY_SIGNAL,"[""low_volume"", ""dirty_sideways_market"", ""against_htf""]",
paper_761736d12cde,2026-05-03T21:09:23.924277+00:00,ETHUSDT,short,2329.58,2346.419857,2312.740143,24,SL_HIT,recorded_status_sl,-1.0,0.8658,-2.6301,21,RANGING,NEW_YORK,EXHAUSTION,premium_zone,MAIN_SIGNAL,"[""against_htf""]",
paper_6625a749995c,2026-05-03T21:09:24.731412+00:00,SOLUSDT,short,84.34,84.789286,83.890714,24,SL_HIT,recorded_status_sl,-1.0,1.0238,-1.4913,21,TRENDING,NEW_YORK,PULLBACK,premium_zone,MAIN_SIGNAL,[],
paper_5e7adc183cfe,2026-05-03T21:32:25.147336+00:00,DOTUSDT,long,1.217,1.202614,1.231386,24,TP_HIT,recorded_status_tp,1.5,2.0854,-0.6951,16,TRENDING,NEW_YORK,BREAKOUT,mid_range,SECONDARY_SIGNAL,"[""against_htf""]",
paper_ba0155acfc12,2026-05-03T21:32:35.893221+00:00,UNIUSDT,short,3.248,3.271943,3.224057,24,SL_HIT,recorded_status_sl,-1.0,1.1694,-6.4737,16,RANGING,NEW_YORK,CHOPPY_RANGE,premium_zone,MAIN_SIGNAL,"[""dirty_sideways_market""]",
paper_5b11b8734db4,2026-05-03T21:32:36.725503+00:00,ETCUSDT,short,8.5,8.547429,8.452571,24,SL_HIT,recorded_status_sl,-1.0,0.8434,-4.006,16,RANGING,NEW_YORK,CHOPPY_RANGE,premium_zone,MAIN_SIGNAL,"[""low_volume"", ""dirty_sideways_market"", ""against_htf""]",
paper_9551b8ea4490,2026-05-03T21:32:39.779548+00:00,FTMUSDT,long,0.6994,0.687989,0.710811,24,UNKNOWN,missing_price_path,,,,,HIGH_VOLATILITY,ASIA,PULLBACK,near_support,MAIN_SIGNAL,"[""against_htf""]",
paper_18fa8219a378,2026-05-03T21:32:43.208675+00:00,SANDUSDT,short,0.0726,0.073073,0.072127,24,SL_HIT,recorded_status_sl,-1.0,1.4799,-3.3827,16,TRENDING,NEW_YORK,PULLBACK,premium_zone,MAIN_SIGNAL,[],
paper_c2a7427b5ef2,2026-05-03T21:32:43.883684+00:00,MANAUSDT,short,0.0886,0.090906,0.086294,24,UNKNOWN,missing_price_path,,,,,TRENDING,NEW_YORK,BREAKOUT,near_support,SECONDARY_SIGNAL,[],
paper_52df9213dbae,2026-05-03T21:32:44.888096+00:00,APEUSDT,long,0.1677,0.16661,0.16879,24,SL_HIT,recorded_status_sl,-1.0,1.9266,-3.4862,11,HIGH_VOLATILITY,NEW_YORK,BREAKOUT,near_support,MAIN_SIGNAL,[],
live_c719f8234807,2026-05-03T21:32:48.922905+00:00,TAOUSDT,long,293.3,281.142857,317.614286,24,UNKNOWN,missing_price_path,,,,,HIGH_VOLATILITY,NEW_YORK,BREAKOUT,near_resistance,SECONDARY_SIGNAL,[],
paper_8695c459ec94,2026-05-03T21:32:48.923600+00:00,TAOUSDT,long,293.3,281.142857,305.457143,24,UNKNOWN,missing_price_path,,,,,HIGH_VOLATILITY,NEW_YORK,BREAKOUT,near_resistance,SECONDARY_SIGNAL,[],
,2026-05-03T22:03:50.611455+00:00,DOGEUSDT,short,0.10815,,,24,UNKNOWN,missing_required_data,,,,,TRENDING,,BREAKOUT,,,,
,2026-05-03T22:03:51.421154+00:00,AVAXUSDT,short,9.08,,,24,UNKNOWN,missing_required_data,,,,,TRENDING,,PULLBACK,,,,
,2026-05-03T22:03:52.491585+00:00,ADAUSDT,short,0.2493,,,24,UNKNOWN,missing_required_data,,,,,RANGING,,BREAKOUT,,,,
,2026-05-03T22:03:56.892928+00:00,NEARUSDT,short,1.273,,,24,UNKNOWN,missing_required_data,,,,,TRENDING,,PULLBACK,,,,
paper_0e98126cf137,2026-05-03T22:04:00.287137+00:00,ATOMUSDT,short,1.882,1.898843,1.865157,24,SL_HIT,recorded_status_sl,-1.0,0.475,-1.7812,5,RANGING,NEW_YORK,CHOPPY_RANGE,mid_range,SECONDARY_SIGNAL,"[""dirty_sideways_market""]",
paper_9ce2ecd24c06,2026-05-03T22:04:02.004560+00:00,INJUSDT,short,3.735,3.814357,3.655643,24,UNKNOWN,missing_price_path,,,,,HIGH_VOLATILITY,NEW_YORK,BREAKOUT,discount_zone,SECONDARY_SIGNAL,"[""against_htf""]",
paper_b1367e894fdb,2026-05-03T22:04:03.546962+00:00,SUIUSDT,short,0.9219,0.931606,0.912194,24,SL_HIT,recorded_status_sl,-1.0,0.3503,-2.1327,5,TRENDING,NEW_YORK,BREAKOUT,mid_range,SECONDARY_SIGNAL,[],
live_fd924d88740f,2026-05-03T22:04:08.780604+00:00,ICPUSDT,short,2.337,2.372614,2.265772,24,SL_HIT,recorded_status_sl,-1.0,,,,RANGING,NEW_YORK,BREAKOUT,near_support,SECONDARY_SIGNAL,[],
paper_144552f73407,2026-05-03T22:04:08.781203+00:00,ICPUSDT,short,2.337,2.372614,2.301386,24,SL_HIT,recorded_status_sl,-1.0,0.1685,-1.797,5,RANGING,NEW_YORK,BREAKOUT,near_support,SECONDARY_SIGNAL,[],
,2026-05-03T22:04:14.463756+00:00,MANAUSDT,short,0.0882,,,24,UNKNOWN,missing_required_data,,,,,TRENDING,,BREAKOUT,,,,
live_87e6d7c41019,2026-05-03T22:04:14.495927+00:00,MANAUSDT,short,0.0882,0.090911,0.082777,24,UNKNOWN,missing_price_path,,,,,TRENDING,NEW_YORK,BREAKOUT,near_support,SECONDARY_SIGNAL,[],
paper_3f9347f376ea,2026-05-03T22:04:14.496437+00:00,MANAUSDT,short,0.0882,0.090911,0.085489,24,UNKNOWN,missing_price_path,,,,,TRENDING,NEW_YORK,BREAKOUT,near_support,SECONDARY_SIGNAL,[],
,2026-05-03T22:04:15.999514+00:00,PEPEUSDT,short,3.93e-06,,,24,UNKNOWN,missing_required_data,,,,,LOW_VOLATILITY,,BREAKOUT,,,,
paper_3e2e395fa307,2026-05-04T08:57:05.981783+00:00,TRXUSDT,short,0.3392,0.340653,0.337747,24,SL_HIT,recorded_status_sl,-1.0,0.0,-1.1012,1,RANGING,LONDON,CHOPPY_RANGE,near_resistance,MAIN_SIGNAL,"[""against_htf""]",
paper_60d54e32edf8,2026-05-04T08:57:13.788292+00:00,INJUSDT,short,3.793,3.819771,3.766229,24,TP_HIT,recorded_status_tp,2.951,3.8848,0.0,1,HIGH_VOLATILITY,LONDON,PULLBACK,near_resistance,MAIN_SIGNAL,"[""against_htf""]",
paper_dfaabddaca9f,2026-05-04T11:58:41.919637+00:00,BTCUSDT,long,78940.26,78076.566429,79803.953571,24,TIMEOUT,recorded_status_timeout,1.0,1.8582,-0.5097,24,RANGING,LONDON,BREAKOUT,discount_zone,MAIN_SIGNAL,[],
,2026-05-04T11:58:43.293501+00:00,ETHUSDT,short,2338.36,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,BREAKOUT,,,,
paper_3b6bbdf6fe27,2026-05-04T11:58:43.328517+00:00,ETHUSDT,short,2338.36,2403.762857,2272.957143,24,TIMEOUT,recorded_status_timeout,-0.1795,0.1934,-0.6642,24,HIGH_VOLATILITY,LONDON,BREAKOUT,discount_zone,SECONDARY_SIGNAL,"[""against_htf""]",
paper_28fabf15fceb,2026-05-04T11:58:44.107222+00:00,SOLUSDT,long,84.04,83.077,85.003,24,TIMEOUT,recorded_status_timeout,1.0,1.3292,-0.4673,24,HIGH_VOLATILITY,LONDON,BREAKOUT,discount_zone,MAIN_SIGNAL,"[""against_htf""]",
,2026-05-04T11:58:46.323821+00:00,DOGEUSDT,short,0.11029,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,BREAKOUT,,,,
